OBJECTID,NAME,ADDRESS,CITY,STATE,TYPE,STATUS,POPULATION,COUNTY,LATITUDE,LONGITUDE,WEBSITE,OWNER,OPERNAME,CAPACITY,US_RANK,CRUDE,URL
1,SOMERSET,300 REFINERY ROAD,SOMERSET,KY,VERY SMALL REFINERY,IN SERVICE,34,PULASKI,37.07113,-84.60951,http://www.continentalrefiningco.com,CONTINENTAL REFINING CO LLC,CONTINENTAL REFINING COMPANY LLC,5500,134,5500,https://drive.google.com/uc?id=1Qw68r2sgDP4PgdbcS9FTDTnHnfIgnL4H
2,WOODS CROSS,2355 SOUTH 1100 WEST,WOODS CROSS,UT,VERY SMALL SIMPLE REFINERY,IN SERVICE,45,DAVIS,40.86776,-111.91,http://silvereagleenergy.com,SILVER EAGLE REFINING INC,SILVER EAGLE REFINING,15000,122,15000,https://drive.google.com/uc?id=1yY5_zJxsYhVjKg6qqM15stfov4aZIK7T
3,COMMERCE CITY EAST,5801 BRIGHTON BLVD,COMMERCE CITY,CO,SMALL SIMPLE REFINERY,IN SERVICE,420,ADAMS,39.80175,-104.94518,http://www.suncor.com,SUNCOR ENERGY INC,SUNCOR ENERGY (USA) INC,36000,107,36000,https://drive.google.com/uc?id=15nahl_XM_xSBy3piXPn9zSnvs0vzb3wQ
4,SAN ANTONIO,7811 S PRESA STREET,SAN ANTONIO,TX,SMALL LUBRICANTS REFINERY,IN SERVICE,50,BEXAR,29.34757,-98.46019,http://www.calumetspecialty.com,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",CALUMET LUBRICANTS CO,20000,117,20000,https://drive.google.com/uc?id=1I7mgnNKmSUrhYHkVDysrmp0bqNGWTb-a
5,PAULSBORO,800 BILLINGSPORT ROAD,PAULSBORO,NJ,LARGE HIGHLY COMPLEX REFINERY,IN SERVICE,427,GLOUCESTER,39.84038,-75.25681,http://www.pbfenergy.com,PBF ENERGY CO LLC,PAULSBORO REFINING CO LLC,160000,44,160000,https://drive.google.com/uc?id=1KTkxzPZgIX1op03gbPkQhRLEJbevXV-F
6,TEXAS CITY,1301 LOOP 197 SOUTH,TEXAS CITY,TX,LARGE COMPLEX REFINERY,IN SERVICE,509,GALVESTON,29.36763,-94.90828,http://www.valero.com,VALERO ENERGY CORP,VALERO REFINING CO TEXAS LP,225000,32,225000,https://drive.google.com/uc?id=1iKrPeq4WO6Bu6y7zyIBDgYtyZK-6mDRD
7,TEXAS CITY,502 10TH STREET SOUTH,TEXAS CITY,TX,SMALL MEDIUM COMPLEXITY REFINERY THAT PROCESSES SWEET CRUDE,IN SERVICE,276,GALVESTON,29.37542,-94.90798,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,86000,73,86000,https://drive.google.com/uc?id=1lVn5Jhpnkzie0DrxqLKs39VnUIpYDmjD
8,BAYTOWN,2800 DECKER DR/4500 BAYWAY DRIVE,BAYTOWN,TX,VERY LARGE AND HIGHLY COMPLEX REFINERY,IN SERVICE,1307,HARRIS,29.74285,-95.01026,http://www.exxonmobilchemical.com,EXXON MOBIL CORP,EXXONMOBIL REFINING & SUPPLY CO,560500,2,560500,https://drive.google.com/uc?id=1Yjtygk9RdoNbD1ObMzpwkIaYtP3plNJO
9,CHALMETTE,500 WEST ST. BERNARD HWY,CHALMETTE,LA,LARGE COMPLEX REFINERY,IN SERVICE,625,ST. BERNARD,29.93358,-89.96916,http://corporate.exxonmobil.com,PBF ENERGY CO LLC,CHALMETTE REFINING LLC,190000,37,190000,https://drive.google.com/uc?id=1VcfkEmzOqSXv0GIegCFlBMiN1oNnQSU_
10,TOLEDO,4001 CEDAR POINT ROAD,OREGON,OH,MEDIUM COMPLEX REFINERY,IN SERVICE,465,LUCAS,41.67947,-83.45156,http://www.huskyenergy.com,BP HUSKY REFINING LLC,BP-HUSKY REFINING LLC,153000,48,153000,https://drive.google.com/uc?id=1HRhpVpUTusH9OUTlyh2r4KWADq0am5NH
11,THREE RIVERS,301 LEROY STREET,THREE RIVERS,TX,MEDIUM SIZED MEDIUM COMPLEXITY REFINERY,IN SERVICE,302,LIVE OAK,28.45728,-98.18771,http://www.valero.com,VALERO ENERGY CORP,VALERO ENERGY CORPORATION,89000,71,89000,https://drive.google.com/uc?id=11jWmHYGS4KeVAB-gznu9ihu_T5JF7fuL
12,HOUSTON,9701 MANCHESTER,HOUSTON,TX,LARGE COMPLEX REFINERY,IN SERVICE,340,HARRIS,29.72181,-95.2536,http://www.valero.com,VALERO ENERGY CORP,VALERO REFINING CO TEXAS LP,191000,36,191000,https://drive.google.com/uc?id=137SDEMpvfi0IHa5ngVagaKCAhVVHCJpl
13,SINCLAIR,100 E LINCOLN AVENUE (EAST LINCOLN HIGHWAY),SINCLAIR,WY,MEDIUM COMPLEX REFINERY,IN SERVICE,332,CARBON,41.78212,-107.10722,http://www.sinclairoil.com,SINCLAIR OIL CORP,SINCLAIR WYOMING REFINING CO,85000,76,85000,https://drive.google.com/uc?id=1Aan7o45g8XDZhIUFtFCnubGRCnCvFRbQ
14,TYLER,1702 E COMMERCE STREET,TYLER,TX,MEDIUM SIZED MEDIUM COMPLEXITY REFINERY,IN SERVICE,254,SMITH,32.36172,-95.2797,http://www.delekus.com,DELEK GROUP LTD,DELEK REFINING LTD,72000,86,72000,https://drive.google.com/uc?id=1CQyaQxRKLCMTpwe1xXyj9818QYqwIG_Q
15,MARTINEZ,3485 PACHECO BLVD,MARTINEZ,CA,LARGE HIGHLY COMPLEX REFINERY,IN SERVICE,774,CONTRA COSTA,38.01844,-122.11327,http://www.shell.us,ROYAL DUTCH/SHELL GROUP,SHELL OIL PRODUCTS US,156400,47,156400,https://drive.google.com/uc?id=1dntt4bVm_mEdZEKSejQfvEFYqTLER9GP
16,SUNRAY,6701 FM 119,SUNRAY,TX,MEDIUM COMPLEX REFINERY,IN SERVICE,435,MOORE,35.95528,-101.88038,http://www.valero.com,VALERO ENERGY CORP,VALERO ENERGY CORPORATION,195000,35,195000,https://drive.google.com/uc?id=14Lwj4JtLva73dqwMdXm3A7eRC-pvRJAX
17,PASADENA,111 RED BLUFF ROAD,PASADENA,TX,MEDIUM SIZED COMPLEX REFINERY WITH A HIGH GASOLINE YIELD,IN SERVICE,345,HARRIS,29.7231,-95.20804,http://www.petrobras.com,PETROBRAS AMERICA INC,PASADENA REFINING SYSTEMS INC,112229,61,112229,https://drive.google.com/uc?id=16ClQsFX3Kt7hDnIHiHVWxq-TSxiB_so6
